Entry_ID|Name|Type|Solvent|pH
bmse000001|Propane-1,3-diamine|synonym|D2O|7.4
bmse000001|DAP|synonym|D2O|7.4
bmse000001|1,3-Propylenediamine|synonym|D2O|7.4
bmse000001|1,3-Diaminopropane|synonym|D2O|7.4
bmse000001|1,3-Propanediamine|synonym|D2O|7.4
bmse000001|1,3-DIAMINOPROPANE|synonym|D2O|7.4
bmse000001|TMEDA|synonym|D2O|7.4
bmse000001|Trimethylenediamine|synonym|D2O|7.4
bmse000001|alpha,omega-Propanediamine|synonym|D2O|7.4
bmse000001|propane-1,3-diamine|IUPAC|D2O|7.4
bmse000001|propane-1,3-diamine|IUPAC_TRADITIONAL|D2O|7.4
bmse000001|propane-1,3-diamine|IUPAC_CAS|D2O|7.4
bmse000001|propane-1,3-diamine|IUPAC_OPENEYE|D2O|7.4
bmse000001|propane-1,3-diamine|IUPAC_SYSTEMATIC|D2O|7.4
bmse000002|2,3-Bisphospho-D-glycerate|synonym|D2O|7.4
bmse000002|D-Greenwald ester|synonym|D2O|7.4
bmse000002|DPG|synonym|D2O|7.4
bmse000002|2,3-Disphospho-D-glycerate|synonym|D2O|7.4
bmse000002|(2R)-2,3-diphosphonooxypropanoic acid|IUPAC|D2O|7.4
bmse000002|(2R)-2,3-diphosphonooxypropanoic acid|IUPAC_TRADITIONAL|D2O|7.4
bmse000002|(2R)-2,3-diphosphonooxypropanoic acid|IUPAC_CAS|D2O|7.4
bmse000002|(2R)-2,3-diphosphonooxypropanoic acid|IUPAC_OPENEYE|D2O|7.4
bmse000002|(2R)-2,3-diphosphonooxypropanoic acid|IUPAC_SYSTEMATIC|D2O|7.4
bmse000003|2'-Deoxyguanosine|synonym|D2O|7.4
bmse000003|C00330|synonym|D2O|7.4
bmse000003|Deoxyguanosine|synonym|D2O|7.4
bmse000003|DG|synonym|D2O|7.4
bmse000003|DGua|synonym|D2O|7.4
bmse000003|2_deoxyguanosine|PUBCHEM_IUPAC_NAME|D2O|7.4
bmse000003|2_deoxyguanosine|PUBCHEM_IUPAC_TRADITIONAL_NAME|D2O|7.4
bmse000003|2_deoxyguanosine|PUBCHEM_IUPAC_OPENEYE_NAME|D2O|7.4
bmse000003|2_deoxyguanosine|PUBCHEM_IUPAC_CAS_NAME|D2O|7.4
bmse000003|2_deoxyguanosine|PUBCHEM_IUPAC_SYSTEMATIC_NAME|D2O|7.4
bmse000004|Adenosindiphosphorsaeure|synonym|D2O|7.4
bmse000004|ADP|synonym|D2O|7.4
bmse000004|Adenosine 5'-pyrophosphate|synonym|D2O|7.4
bmse000004|Adenosine-5'-diphosphat|synonym|D2O|7.4
bmse000004|Adenosine diphosphate|synonym|D2O|7.4
bmse000004|Adenosine 5'-diphosphoric acid|synonym|D2O|7.4
bmse000004|Adenosine-5'-diphosphate|synonym|D2O|7.4
bmse000004|Adenosine diphosphoric acid|synonym|D2O|7.4
bmse000004|ADP (nucleotide)|synonym|D2O|7.4
bmse000004|Ado-5'-P-P|synonym|D2O|7.4
bmse000004|Adenosine 5'-(trihydrogen diphosphate)|synonym|D2O|7.4
bmse000004|Adenosine 5'-diphosphate|synonym|D2O|7.4
bmse000004|Adenosine pyrophosphate|synonym|D2O|7.4
bmse000004|Adenosine 5'-pyrophosphoric acid|synonym|D2O|7.4
bmse000004|5'-Adenylphosphoric acid|synonym|D2O|7.4
bmse000004|5'-Adp|synonym|D2O|7.4
bmse000004|ADENOSINE, 5'-(TRIHYDROGEN PYROPHOSPHATE)|synonym|D2O|7.4
bmse000004|[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-oxolan-2-yl]methoxy-hydroxy-phosphoryl]oxyphosphonic acid|IUPAC|D2O|7.4
bmse000004|[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxyphosphonic acid|IUPAC_TRADITIONAL|D2O|7.4
bmse000004|[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxyphosphonic acid|IUPAC_CAS|D2O|7.4
bmse000004|[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxyphosphonic acid|IUPAC_OPENEYE|D2O|7.4
bmse000004|[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-oxolan-2-yl]methoxy-hydroxy-phosphoryl]oxyphosphonic acid|IUPAC_SYSTEMATIC|D2O|7.4
bmse000005|Adenosine-5-monophosphoric acid|synonym|D2O|7.4
bmse000005|Adenosine 5'-phosphate|synonym|D2O|7.4
bmse000005|Myoston|synonym|D2O|7.4
bmse000005|AMP (nucleotide)|synonym|D2O|7.4
bmse000005|Adenosine, mono(dihydrogen phosphate) (ester)|synonym|D2O|7.4
bmse000005|5'-AMP|synonym|D2O|7.4
bmse000005|5'-Adenylic acid|synonym|D2O|7.4
bmse000005|Phosphaden|synonym|D2O|7.4
bmse000005|A5MP|synonym|D2O|7.4
bmse000005|Adenosine phosphate|synonym|D2O|7.4
bmse000005|ADENOSINE 5'-PHOSPHATE|synonym|D2O|7.4
bmse000005|Monophosphadenine|synonym|D2O|7.4
bmse000005|Muskeladenylsaeure|synonym|D2O|7.4
bmse000005|Muscle adenylic acid|synonym|D2O|7.4
bmse000005|Adenylate|synonym|D2O|7.4
bmse000005|Vitamin B8|synonym|D2O|7.4
bmse000005|Lycedan|synonym|D2O|7.4
bmse000005|Phosphate d'adenosine [INN-French]|synonym|D2O|7.4
bmse000005|Ergadenylic acid|synonym|D2O|7.4
bmse000005|Adenosine 5'-monophosphoric acid|synonym|D2O|7.4
bmse000005|Adenovite|synonym|D2O|7.4
bmse000005|Adenosine monophosphate|synonym|D2O|7.4
bmse000005|Adenylic acid (VAN)|synonym|D2O|7.4
bmse000005|Fosfato de adenosina [INN-Spanish]|synonym|D2O|7.4
bmse000005|Phosaden|synonym|D2O|7.4
bmse000005|AMP|synonym|D2O|7.4
bmse000005|Adenosini phosphas [INN-Latin]|synonym|D2O|7.4
bmse000005|5'-Adenosine monophosphate|synonym|D2O|7.4
bmse000005|Cardiomone|synonym|D2O|7.4
bmse000005|Adenosine 5'-(dihydrogen phosphate)|synonym|D2O|7.4
bmse000005|Adenosine phosphate [USAN:BAN:INN]|synonym|D2O|7.4
bmse000005|Adenosine 5'-phosphoric acid|synonym|D2O|7.4
bmse000005|My-B-Den|synonym|D2O|7.4
bmse000005|AMP (VAN)|synonym|D2O|7.4
bmse000005|Adenylic acid|synonym|D2O|7.4
bmse000005|Phosphentaside|synonym|D2O|7.4
bmse000005|Muskeladenosin-phosphorsaeure|synonym|D2O|7.4
bmse000005|Adenosine 5'-monophosphate|synonym|D2O|7.4
bmse000005|[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-oxolan-2-yl]methoxyphosphonic acid|IUPAC|D2O|7.4
bmse000005|[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxyphosphonic acid|IUPAC_TRADITIONAL|D2O|7.4
bmse000005|[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxyphosphonic acid|IUPAC_CAS|D2O|7.4
bmse000005|[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxyphosphonic acid|IUPAC_OPENEYE|D2O|7.4
bmse000006|Ado-5'-P-P-P|synonym|D2O|7.4
bmse000006|Adynol|synonym|D2O|7.4
bmse000006|Adenosine 5'-(tetrahydrogen triphosphate)|synonym|D2O|7.4
bmse000006|Adetol|synonym|D2O|7.4
bmse000006|Atipi|synonym|D2O|7.4
bmse000006|Triphosphoric acid adenosine ester|synonym|D2O|7.4
bmse000006|Myotriphos|synonym|D2O|7.4
bmse000006|Glucobasin|synonym|D2O|7.4
bmse000006|Adenylpyrophosphoric acid|synonym|D2O|7.4
bmse000006|ATP (nucleotide)|synonym|D2O|7.4
bmse000006|Triadenyl|synonym|D2O|7.4
bmse000006|Ara-ATP|synonym|D2O|7.4
bmse000006|Striadyne|synonym|D2O|7.4
bmse000006|5'-Atp|synonym|D2O|7.4
bmse000006|Triphosphaden|synonym|D2O|7.4
bmse000006|ATP|synonym|D2O|7.4
bmse000006|Adenosine, 5'-(tetrahydrogen triphosphate)|synonym|D2O|7.4
bmse000006|Adenosintriphosphorsaeure|synonym|D2O|7.4
bmse000006|Adenosine 5'-triphosphoric acid|synonym|D2O|7.4
bmse000006|Atriphos|synonym|D2O|7.4
