"ROI.left.edge..ppm.","ROI.right.edge..ppm.","Quantification.Mode","Metabolite","Quantification.Signal","Chemical.shift.ppm.","Chemical.shift.tolerance..ppm.","Half.bandwidth..Hz.","Multiplicity","J.coupling..Hz.","Roof.effect","HMDB_code","pH","Instrument.strength","Solvent"
0.947,0.907,"Baseline Fitting","L-Isoleucine",6,0.927,0.02,1.4,3,8.99999999999994,0,"bmse000041",7.4,600,"h2o"
0.969,0.929,"Baseline Fitting","L- Leucine",3,0.949,0.02,1.4,3,5.99999999999994,0,"bmse000042",7.4,600,"h2o"
1.001,0.961,"Baseline Fitting","L-Valine",4,0.981,0.02,1.4,2,8.40000000000001,0,"bmse000052",7.4,600,"h2o"
1.018,0.978,"Baseline Fitting","L-Isoleucine",5,0.998,0.02,1.4,2,8.39999999999994,0,"bmse000041",7.4,600,"h2o"
1.054,1.014,"Baseline Fitting","L-Valine",3,1.034,0.02,1.4,2,8.40000000000001,0,"bmse000052",7.4,600,"h2o"
1.269,1.229,"Baseline Fitting","L-Isoleucine",4,1.249,0.02,1.4,7,2.4,0,"bmse000041",7.4,600,"h2o"
1.338,1.298,"Baseline Fitting","L-Threonine",3,1.318,0.02,1.4,2,7.80000000000007,0,"bmse000049",7.4,600,"h2o"
1.478,1.438,"Baseline Fitting","L-Isoleucine",3,1.458,0.02,1.4,9,0,0,"bmse000041",7.4,600,"h2o"
1.485,1.445,"Baseline Fitting","L-Lysine",5,1.465,0.02,1.4,13,2.4,0,"bmse000043",7.4,600,"h2o"
1.491,1.451,"Baseline Fitting","L-Alanine",2,1.471,0.02,1.4,2,10.8,0,"bmse000028",7.4,600,"h2o"
1.699,1.659,"Baseline Fitting","L-Arginine",4,1.679,0.02,1.4,21,2.99999999999994,0,"bmse000029",7.4,600,"h2o"
1.699,1.659,"Baseline Fitting","L-arginine",4,1.679,0.02,1.4,22,2.22000000000002,0,"bmse000711",7.4,600,"h2o"
1.721,1.681,"Baseline Fitting","L- Leucine",2,1.701,0.02,1.4,8,4.8,0,"bmse000042",7.4,600,"h2o"
1.736,1.696,"Baseline Fitting","L-Lysine",4,1.716,0.02,1.4,5,8.99999999999994,0,"bmse000043",7.4,600,"h2o"
1.915,1.875,"Baseline Fitting","L-Lysine",3,1.895,0.02,1.4,6,4.19999999999994,0,"bmse000043",7.4,600,"h2o"
1.929,1.889,"Baseline Fitting","L-Arginine",3,1.909,0.02,1.4,9,1.79999999999993,0,"bmse000029",7.4,600,"h2o"
1.929,1.889,"Baseline Fitting","L-arginine",3,1.909,0.02,1.4,11,2.16000000000003,0,"bmse000711",7.4,600,"h2o"
1.989,1.949,"Baseline Fitting","L-Isoleucine",2,1.969,0.02,1.4,9,1.80000000000007,0,"bmse000041",7.4,600,"h2o"
2.042,2.002,"Baseline Fitting","L-Proline",4,2.022,0.02,1.4,11,7.20000000000001,0,"bmse000047",7.4,600,"h2o"
2.098,2.058,"Baseline Fitting","L-glutamic acid",3,2.078,0.02,1.4,15,3.0000000000002,0,"bmse000037",7.4,600,"h2o"
2.142,2.102,"Baseline Fitting","L-Methionine",4,2.122,0.02,1.4,3,8.39999999999987,0,"bmse000044",7.4,600,"h2o"
2.15,2.11,"Baseline Fitting","Glutamine",3,2.13,0.02,1.4,4,10.1999999999999,0,"bmse000038",7.4,600,"h2o"
2.203,2.163,"Baseline Fitting","L-Methionine",3,2.183,0.02,1.4,11,2.99999999999994,0,"bmse000044",7.4,600,"h2o"
2.286,2.246,"Baseline Fitting","L-Valine",2,2.266,0.02,1.4,8,2.99999999999994,0,"bmse000052",7.4,600,"h2o"
2.357,2.317,"Baseline Fitting","L-Proline",3,2.337,0.02,1.4,7,1.80000000000007,0,"bmse000047",7.4,600,"h2o"
2.359,2.319,"Baseline Fitting","L-glutamic acid",2,2.339,0.02,1.4,4,2.99999999999994,0,"bmse000037",7.4,600,"h2o"
2.467,2.427,"Baseline Fitting","Glutamine",2,2.447,0.02,1.4,6,4.8,0,"bmse000038",7.4,600,"h2o"
